layer,feature,explanation,recall,fuzz,average
0,6,"Scientific and technical terms, often related to materials, medical procedures, or physical properties.",0.84,0.74,0.79
0,4,"Proper nouns, especially surnames and geographic locations, as well as nouns related to disposal and condemnation.",0.74,0.68,0.71
0,5,"Suffixes ""-oke"", ""-okes"", ""-iddles"", ""-ipers"" in various words, often related to names or nouns.",0.92,0.88,0.9
0,0,"The words ""everybody"" and ""somebody"", as well as the prefix ""ifty"" in words like ""fifty"" and ""thrifty"".",0.98,0.74,0.86
0,3,"The verb ""watch"" or its variations (""Watch"", ""watched"", ""watching"") in various contexts, often related to observing or paying attention to something.",0.99,0.75,0.87
0,10,"Verbs or nouns related to helping, supporting, or providing aid, often in a professional or formal context.",0.82,0.74,0.78
0,7,"The French prefix ""La"" or ""Mu"" in proper nouns, often indicating a location or title.",0.95,0.64,0.7949999999999999
0,11,"The neuron activates on words ending in ""-style"", ""-body"", or ""-esque"", often used to describe a particular manner or aesthetic, as well as the apologetic phrase ""Sorry"".",0.89,0.65,0.77
0,9,"The neuron is activated by words related to personal preferences or perceptions, such as ""liking"", ""hearing"", or ""dislike"", often in the context of personal opinions or sensory experiences.",0.76,0.54,0.65
0,12,"The neuron activates on numerical values, particularly the number 48 and its variations (e.g., 480, 048), often in the context of measurements, quantities, or time durations.",0.96,0.63,0.7949999999999999
0,14,"The neuron activates on tokens related to web pages or units of measurement (e.g., ""page"", ""pages"", ""bullets"", ""miles"").",0.91,0.81,0.8600000000000001
0,18,"Proper nouns, abbreviations, and words related to science, often appearing in formal or technical contexts.",0.54,0.46,0.5
0,15,"Function words (prepositions, articles, conjunctions) and punctuation marks, often indicating a transition or connection between phrases or clauses.",0.5,0.64,0.5700000000000001
0,13,"Ordinal numbers or words (e.g. ""fifth"", ""second"", ""fourth"", ""third"", ""middle"") and their variations, often indicating a position or fraction.",0.94,0.77,0.855
0,16,"Verbs or nouns related to binding, connection, or restraint, such as ""tied"", ""ties"", ""stuck"", often in a physical or metaphorical sense.",0.98,0.69,0.835
0,24,"Prefixes or roots of English words, often with a negative connotation, that convey a sense of strong emotions or moral judgments.",0.77,0.78,0.775
0,21,"The suffixes ""ES"" or ""URES"" in various words, often indicating a plural or possessive form.",0.64,0.75,0.6950000000000001
0,25,"The neuron is activated by words related to failure, success, or genuineness, often in the context of evaluation or judgment.",0.9,0.52,0.71
0,26,"Non-ASCII characters, such as �, and occasionally nouns or phrases enclosed by these characters, often indicating titles, names, or emphasized text.",0.82,0.63,0.725
0,27,"Geographic locations (specifically, ""Massachusetts"") and registered trademarks (indicated by ""®"").",0.9,0.68,0.79
0,29,"The hyphen or dash symbol (-) in various contexts, including measurements, compound words, and ranges.",0.86,0.8,0.8300000000000001
0,31,"Verbs and nouns related to production, construction, and manufacturing processes.",0.82,0.76,0.79
0,33,"The token ""Images"" or ""Image"" in a credit or attribution for a visual media source, often in the context of news or photography.",0.88,0.57,0.725
0,34,"Proper nouns or common nouns referring to seasons (Summer, Spring), metals (Silver), or locations (House, Sand), often in a title or descriptive context.",0.94,0.68,0.81
0,35,"Words related to a physical space or location, such as ""studio"", ""lounge"", or ""house"", often in a context of entertainment, production, or relaxation.",0.9,0.65,0.775
0,39,"Fragments of words, typically prefixes or suffixes, often indicating a sense of tidiness, closeness, or type.",0.72,0.75,0.735
0,36,"Proper nouns, especially names of people, places, and organizations, as well as nouns that refer to specific entities or concepts.",0.67,0.46,0.5650000000000001
0,42,"The verb ""include"" or ""require"" in a sentence, often used to list or specify items.",0.99,0.72,0.855
0,45,"The brand ""Apple"" or the fruit ""apple"" in various contexts, including technology, food, and colors.",0.96,0.62,0.79
0,41,"Surnames or plural nouns indicating family relationships (e.g., Brothers, Mans, Sisters) or possessive forms of nouns (e.g., Mens, Owners).",0.92,0.75,0.835
0,48,"Fragments of proper nouns, especially names of people and places, often with a suffix or prefix.",0.54,0.58,0.56
0,46,"The neuron activates on words related to natural or non-synthetic concepts, such as ""organic"", ""racist"", or ""gross"", often in the context of describing products, materials, or ideologies.",0.84,0.55,0.6950000000000001
2,0,"The token ""like"" used for comparison or exemplification.",0.98,0.72,0.85
2,1,"The word ""other"" in various contexts, often indicating a category or a list of items.",0.98,0.68,0.8300000000000001
2,2,"Suffixes (-ers, -ing, -ed, -s) indicating verb forms or plural nouns.",0.7,0.83,0.7649999999999999
2,3,"The prefix ""pr"" in various words, often indicating a sense of primacy, priority, or relation to a primary entity.",0.92,0.7,0.81
2,4,"The word ""Images"" (or ""Image"") in a context related to image credits, licenses, or references, often in a formal or technical tone.",0.92,0.6,0.76
2,6,"Numerical values, often representing quantities, scores, or measurements.",0.92,0.75,0.835
2,7,"The suffix ""am"" in various words, often indicating a location or a person's name.",0.8,0.8,0.8
2,11,"The word ""pool"" in various contexts, often related to a physical container or a shared resource.",0.92,0.67,0.795
2,5,"Punctuation marks, especially quotation marks, periods, and double quotation marks, as well as certain nouns related to sports, teams, and competitions.",0.86,0.59,0.725
2,13,"Prefixes or suffixes related to place names or words with Latin roots, often indicating a location or a descriptive term.",0.7,0.86,0.78
2,15,"Double quotation marks ("") indicating a transition to a new section, paragraph, or quote.",0.52,0.92,0.72
2,20,"The neuron activates on nationalities or occupations, specifically ""Japanese"" and ""maid"", often in descriptive contexts.",0.98,0.79,0.885
2,19,"The word ""injury"" or ""injuries"" in a medical or legal context, often related to harm or damage.",0.96,0.74,0.85
2,18,"The suffix ""-inger"" or the abbreviation ""LB"" in a noun, often related to a person's occupation, position, or a product's characteristic.",0.89,0.76,0.825
2,21,"The neuron is activated by the words ""throat"" and ""concealed"", often in contexts related to physical body parts or hidden objects.",1.0,0.69,0.845
2,23,"Capitalized words or words with unusual capitalization, often indicating proper nouns, titles, or beginnings of sentences.",0.52,0.36,0.44
2,26,"The comparative conjunction ""than"" in phrases indicating a difference or a relationship between quantities.",0.94,0.94,0.94
2,24,"Country or nationality names, abbreviations, or adjectives, often in the context of official organizations or geographic locations.",0.96,0.83,0.895
