text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",29963,0.0,0.0,-1,4.358706809111972,2.043143816771237
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",21897,0.0,0.0,-1,0.05526879226773593,0.030321073169741062
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",11643,0.0,0.0,-1,0.004626653444496505,0.0016305740284863798
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",13123,0.0,0.0,-1,0.005140964406221413,0.003248803759409173
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",20099,5.0,0.0,-1,6.3250150621319055,2.8111178762548588
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",2753,0.0,0.0,-1,0.0036553993711578195,0.0018150073750687631
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",8156,9.0,0.0,-1,6.122045847658952,3.4011365057930023
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",5994,0.0,0.0,-1,0.15382505241431704,0.0646278876233693
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",7810,0.0,0.0,-1,0.12775058003248038,0.07452116914743759
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",14619,0.0,0.0,-1,0.00816228743651104,0.0029474926313500707
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",2384,0.0,0.0,-1,0.07174216962478269,0.041102286106253896
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",10166,0.0,0.0,-1,0.13035290603024768,0.05725570265346494
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",7384,9.0,0.0,-1,7.109721515047522,3.5054876413717633
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",17002,0.0,0.0,-1,0.36506597094161186,0.147040465353622
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",5656,9.0,0.0,-1,2.5092287599170016,2.0213232341827796
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",10194,1.0,0.0,-1,2.460857982173126,0.7604735062529042
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",6994,0.0,0.0,-1,0.04140807638824941,0.027317827624333713
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",8370,0.0,0.0,-1,0.04729010019897182,0.0211820235776712
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",2830,0.0,0.0,-1,0.9476544579404099,0.46395583778076027
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",3474,0.0,0.0,-1,0.10171510830408619,0.04767895701754038
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",1231,0.0,0.0,-1,0.04434678340867255,0.027716739630420373
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",20167,0.0,0.0,-1,0.016300935239820822,0.012735105656109993
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",21376,0.0,0.0,-1,0.16226683616524237,0.0656391900095492
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",3731,0.0,0.0,-1,0.010259272865551745,0.0050227691090097525
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",2203,1.0,0.0,-1,0.06363752455008644,0.022759253993186967
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",28856,0.0,0.0,-1,0.016720664730240448,0.008070043157623483
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",26141,0.0,0.0,-1,0.21226346299048968,0.10023552137842273
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",5429,0.0,0.0,-1,0.0837042451931622,0.03197037170511956
"(8,-22)*{};(20,-10)*{}**\dir{-};(24,-22)*\xycircle(0.5,0.<<5>>",20195,0.0,0.0,-1,0.009856318627369113,0.004363474490238604
