text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",29963,0.0,0.0,-1,0.09319976282278036,0.04368738882317827
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",21897,0.0,0.0,-1,0.051443509220965564,0.028222480412471686
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",11643,0.0,0.0,-1,0.0033735157198701666,0.001188930008158303
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",13123,0.0,0.0,-1,0.008434806379194132,0.005330328807850234
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",20099,9.0,0.0,-1,2.909543251392362,1.2931303706932338
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",2753,0.0,0.0,-1,0.05511057584849268,0.027363932488071573
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",8156,9.0,0.0,-1,8.93551017733764,4.964172334410309
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",5994,0.0,0.0,-1,0.009236798355443023,0.003880738259119436
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",7810,0.0,0.0,-1,0.3838793877323752,0.22392963521688733
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",14619,0.0,0.0,-1,0.0014087233412724061,0.0005087056416854273
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",2384,0.0,0.0,-1,0.008561849067935856,0.004905226198613594
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",10166,0.0,0.0,-1,0.03892891586911966,0.0170989853583077
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",7384,0.0,0.0,-1,0.13507902300983277,0.06660146228671826
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",17002,0.0,0.0,-1,0.0543809389373683,0.02190343445896368
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",5656,3.0,0.0,-1,3.7968721906172496,3.0585915874688814
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",10194,0.0,0.0,-1,0.08490454084947233,0.026237862706556092
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",6994,0.0,0.0,-1,0.0018884568722987109,0.0012458569393501884
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",8370,0.0,0.0,-1,0.004777689808576973,0.0021400068459630113
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",2830,9.0,0.0,-1,4.868981304933781,2.3837719642925204
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",3474,0.0,0.0,-1,0.20347004825518272,0.09537658511961693
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",1231,0.0,0.0,-1,0.0012638366949472533,0.0007898979343420182
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",20167,0.0,0.0,-1,0.013534958236331026,0.01057418612213359
"  &-2 \cr
-1  &0   &0   &0   &0   &\cdots  &0   &-2 &3<<}\>>",21376,0.0,0.0,-1,0.009066375593271558,0.0036674749094058406
