text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",29963,3.0,0.0,-1,3.330346423562494,1.561099886044919
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",21897,9.0,0.0,-1,6.964462116739203,3.820781200781749
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",11643,0.0,0.0,-1,0.0013533136554037856,0.00047694907893356314
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",13123,0.0,0.0,-1,0.001349641752207368,0.000852898571544448
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",20099,9.0,0.0,-1,8.43499852066111,3.748888246372366
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",2753,9.0,0.0,-1,8.931607296685442,4.434791130254159
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",8156,9.0,0.0,-1,8.906507072676805,4.948059504634181
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",5994,0.0,0.0,-1,0.7888798974672842,0.33143912881323045
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",7810,9.0,0.0,-1,8.538649882078134,4.980879024549285
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",14619,0.0,0.0,-1,0.001179409062737175,0.00042589770928861564
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",2384,0.0,0.0,-1,0.3337063433314513,0.19118593249712668
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",10166,0.0,0.0,-1,0.0077527444973478545,0.0034052852921087435
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",7384,0.0,0.0,-1,0.1814296962274262,0.08945491906690861
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",17002,9.0,0.0,-1,7.591999051137239,3.0578885586301974
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",5656,9.0,0.0,-1,7.13359644853169,5.74650823261515
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",10194,8.0,0.0,-1,7.9674272426564965,2.4621564370536606
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",6994,0.0,0.0,-1,0.003573552997081578,0.002357552277130156
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",8370,0.0,0.0,-1,0.01371992891894623,0.006145384691982757
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",2830,9.0,0.0,-1,8.514112625395812,4.168367678131559
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",3474,9.0,0.0,-1,8.478801791732575,3.9744383398746446
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",1231,0.0,0.0,-1,0.04447304480101311,0.02779565300063319
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",20167,0.0,0.0,-1,2.9792459133261397,2.327535869786047
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",21376,1.0,0.0,-1,6.109393702413282,2.471334546129228
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",3731,0.0,0.0,-1,0.0030188293358545094,0.0014779685590014797
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",2203,0.0,0.0,-1,2.7560473581757976,0.9856697782196644
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",28856,0.0,0.0,-1,0.0014730469823727292,0.0007109497686091033
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",26141,0.0,0.0,-1,0.004556124605577886,0.002151503225619281
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",5429,0.0,0.0,-1,0.027139819525295133,0.010365903380781282
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",20195,0.0,0.0,-1,0.022300564394548975,0.009872645917039654
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",26745,0.0,0.0,-1,0.05743262683451187,0.02771921958174026
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",7437,0.0,0.0,-1,0.9358108421810108,0.49390017910190526
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",6655,8.0,0.0,-1,6.7456339742332085,2.5647461913622536
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",5942,0.0,0.0,-1,1.9473758794721854,2.339555640912425
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",26363,0.0,0.0,-1,0.01538280849461546,0.00966766763487724
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",18186,9.0,0.0,-1,8.411614747565219,8.470028614172666
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",1198,0.0,0.0,-1,0.015174260227793801,0.006507017890985535
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",16017,0.0,0.0,-1,0.011385092683731012,0.004407770408564891
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",28042,0.0,0.0,-1,0.8732019835257414,0.49117611573322956
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",20422,9.0,0.0,-1,8.293030199575641,4.232900943403224
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",1191,9.0,0.0,-1,7.480161377973532,3.012842814348049
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",24303,0.0,0.0,-1,0.01156168774218093,0.006784462904990458
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",1807,0.0,0.0,-1,0.006357269552071299,0.0019093881666774535
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",14302,0.0,0.0,-1,0.007695582987242223,0.003634025197599406
"AGNPSurv_mC_hist_ALL.eps){width=""8.5cm""}

[^1]: www.rssd<<.>>",27168,9.0,0.0,-1,8.71852546787373,4.328990105888418
