text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,29963,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,21897,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,11643,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,13123,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,20099,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,2753,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,8156,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,5994,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,7810,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,14619,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,2384,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,10166,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,7384,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,17002,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,5656,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,10194,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,6994,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,8370,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,2830,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,3474,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,1231,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,20167,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,21376,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,3731,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,2203,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,28856,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,26141,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,5429,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,20195,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,26745,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,7437,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,6655,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,5942,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,26363,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,18186,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,1198,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,16017,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,28042,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,20422,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,1191,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,24303,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,1807,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,14302,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,27168,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,1838,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,10910,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,13784,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,13181,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,31377,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,17235,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,24874,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,11896,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,32244,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,21023,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,18915,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,17662,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,29401,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,11022,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,13533,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,10098,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,15023,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,6213,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,15349,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,8523,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,3514,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,14653,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,7041,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,5268,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,15161,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,26541,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,8174,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,30423,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,30920,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,18355,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,13408,-1.0,-1.0,-1,-1.0,-1.0
 we have that $|x_1-x_2|^{\beta_0-\beta} \leq \max \{|x_1-\hat x<<_>>,11086,-1.0,-1.0,-1,-1.0,-1.0
