text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",29963,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",21897,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",11643,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",13123,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",20099,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",2753,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",8156,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",5994,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",7810,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",14619,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",2384,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",10166,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",7384,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",17002,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",5656,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",10194,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",6994,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",8370,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",2830,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",3474,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",1231,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",20167,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",21376,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",3731,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",2203,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",28856,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",26141,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",5429,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",20195,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",26745,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",7437,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",6655,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",5942,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",26363,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",18186,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",1198,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",16017,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",28042,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",20422,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",1191,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",24303,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",1807,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",14302,-1.0,-1.0,-1,-1.0,-1.0
"
  >
    <private>
    </private>
    <text name=""Fig10.1.0""
      context=""""
<<      >>",27168,-1.0,-1.0,-1,-1.0,-1.0
